MovieID,Title,Review
25,囧男孩,"Yes, this film is, though you may not suspect it at first, about our broken relationship with nature. The city is the bad place, technology is bad, and nature is good and pure. And you can be sure that this message is not handled with any subtlety - at all.

But, I loved this film. And not just because of its magnificent images or because of its brilliantly cute character design.

The message of the film may be an old one and one we have heard many times before. But the way it is shown is unique and utterly impressive. I sat in the cinema today and cried, which I did not do for a very long time. Yes, it is very emotional and extremely passionate, and also relentlessly honest. I was ashamed and deeply sad when I left the theater. And because of its honesty I love it. And because there is truth in this message, there is no way around it. We hurt and destroy our world. And how can we bear seeing this cute boy watching all these grown-ups acting like this, destroying this wonderful, wonderful nature? We can't. And there is a reason why we can't. I think it is because we know that it is wrong.

Well, you'll have to experience it for yourself. Please do. I can promise you that you have never seen anything like it before."
30,悲情城市,"This film, even at 20 years old, may be the strongest cinematic statement I've ever seen against country ""boundaries"" and ""imperialism"".

Between the beginning of the 20th century, Chinese people lived in Taiwan under Japanese rule for two generations. By WW II, they were living alongside the Japanese and the remaining (that's another story) indigenous peoples more or less peacefully. The Taiwanese, after two generations, were neither Chinese, nor Japanese, nor indigenous.

When Japan lost the war and withdrew, the Chinese government took over with disastrous consequences. THAT is viscerally described in this masterpiece.

What's really lost on a white boy like me is the nuances of the dialects. In fact, the reason that Tony Leung is a deaf mute is that he couldn't convincingly speak the Taiwanese dialect! (At least I'm in good company, LOL)"
44,紐約哈哈哈,"I sometimes equate this movie to waking up from a satisfactory sleep with the perfect amount of alcohol in the good ol' intestines, slowly coming to the realization that you have shit to do, responsibilities to attend, new lies to create, new truths to discover. We find Frances in a similar state at the beginning of the film, though she has yet realized the consequences of her actions.

When her best friend, Sophie, decides to move out and pursue other goals, Frances initially ruminates in their apartment alone. Having broken-up with a boyfriend over her refusal to live with him, Frances bounces between living arrangements. For most of this film, all of Frances' decisions seem terminal, as she can never settle in one place - whether it be at Benji and Miles' bachelor pad, France, her parents' house in California, or a dorm at her old university; this coupled with her unfulfilling job as an extra dancer in her company. She soon abandons everything in the interim of Sophie's engagement and move to Japan.

For a comedy, the movie has a sadness to it that is inescapable, sadness due to the fact that throughout much of the movie, Frances is alone. The friends she makes come and go, not because she lacks the ability to keep them, but because of the turnstile nature of life. The paths she takes lack a certain introspection and responsibility. Benji's date even points out the superficial economic implications of using a credit card to travel to Paris for the weekend, whereas Frances is more concerned with reading Proust. She ultimately has to face the question of identity in a nomadic lifestyle, and decide between instability and control. It is this viewer's opinion that _Frances Ha_ reaches a conclusion located somewhere in the middle - in that gray area on a drunken night where the room spins around the bed, and the only reprieve is a foot placed on the floor."
44,紐約哈哈哈,"Frances Ha worked really well for me. The performance from Greta Gerwig was brilliant, she carried the film. There is a perfect balance of quirky comedy and heartbreaking drama. I was giggling and tearing up constantly at the journey of Frances. But the overall story was a great ride that ends with such a satisfying conclusion. It is a fantastic feel-good story about self-discovery and perseverance. Noah Baumbach is not one of my favorite directors, but this was definitely a hit for me.

Score: 75%
Verdict: Good"
45,猛禽小隊：小丑女大解放,"If you enjoy reading my Spoiler-Free reviews, please follow my blog @
https://www.msbreviews.com

Since Wonder Woman that the DCEU has not missed a beat. Even though the latter is still my favorite of the universe, I have mostly a positive opinion about Justice League, Aquaman, and Shazam! Yes, these are not the greatest comic-book movies of all-time, but I would be lying if I denied that I was entertained. Birds of Prey follows the same path: it's fun, action-heavy, and it boasts a phenomenal cast. It has some issues regarding the actual plot and a few characters, but I'll get there.

First of all, let me get the mandatory compliments to Margot Robbie's performance out of the way. If there's a DC character better than Harley Quinn for Robbie to portray, please let me know, because I think she's absolutely perfect as a lunatic, over-the-top psychiatrist-turned-psychopath. Suicide Squad might be a total mess, but I doubt anyone denies how Robbie fits seamlessly into the Harley persona. From her looks to the way she speaks and from her physical movement to her facial expressions, there's just no better casting.

She embodies the whole film's chaotic vibe and even contributes to the (very) colorful set design. However, she's not the only one who delivers a spectacular performance. Jurnee Smollett-Bell offers a surprisingly captivating display as Dinah Lance / Black Canary. Even though Harley Quinn is the main character, I found myself caring a lot about Dinah. Her way of living suits the character's personality like a glove, and she's undoubtedly the best-written secondary character of the movie. Unfortunately, I can't say the same about the others, and this is one of my biggest issues.

It's a film packed with cliches and attempts of making the characters aware of those cliches, which is also, well, something pretty overused. What's more generic? Having the bad guy telling the hero their masterplan or having the hero stating how the bad guy is incredibly dumb by thinking of doing that? At first, I laughed, and I thought it was funny the way Christina Hodson was avoiding to write straight-up cliche characters by making everyone else aware of the way these talk or move.

But the whole ""I know you're cliche, so you can get away with saying or doing cliche things"" only works for a couple of scenes, not an entire movie. This is why I wasn't able to connect with Renee Montoya or care about her narrative at all. Mary Elizabeth Winstead is one of my favorite actresses, but she has the least screentime of the entire cast. I never criticize a film for not giving an actor/actress I like a more important role (unlike other people, I believe it would be unfair to do so). Still, I do complain if I think a particular character should have been given more screentime, which is the case of Huntress.

I find her backstory way more exciting and emotionally investing than Rosie Perez's character, but sadly Huntress' personal story serves only as a not-that-surprising third act twist. There are several past-present transitions in the storytelling, most work, but some feel extremely abrupt. Nevertheless, Winstead is outstanding every single time she's on camera! Ewan Mcgregor offers a good performance as the villain, but he leads me to my other major issue: the central plot. Trivia time: a MacGuffin is an object, device, or event necessary to the narrative and the motivation of the characters, but insignificant, unimportant, or irrelevant in itself.

The thread that connects every single character is based on one of the most overused MacGuffins ever. Now, don't get me wrong: a MacGuffin is NOT a synonym of bad writing or of a bad plot! It's merely something that leads to nothing. Having in mind that Birds of Prey is a character-driven movie, a plot centered around a MacGuffin is not unusual. As long as every character works, the primary story can simply be a passenger (Quentin Tarantino's Once Upon a Time in Hollywood applies this method). However, in Birds of Prey, not every character has an interesting story...

Basically, Christina Hodson's screenplay isn't exactly bad, but it isn't great too. Just like the film, it has its ups and downs, and I saved some of the ups for last because I do want to end this review on a positive note. Finally, a DCEU movie where the action isn't overwhelmed with CGI, but with detailed choreography and long takes instead! Thank you, Cathy Yan, for bringing some of the best action sequences in this universe. Even if the third act gets a little sloppy due to the amount of characters, it's still a very satisfying ending. The score beautifully accompanies the action, and the visuals are truly gorgeous to look at. The comedy bits are on-point, I laughed quite often, but my final remark goes to a topic I rarely address...

Birds of Prey is a filmmaking lesson on how to produce an incredibly diverse movie without it feeling forced or unnatural. Only AFTER leaving the theater, I acknowledged the fact that the cast and characters are from various races, cultures, and have different sexual preferences. Why? Because this film doesn't waste its runtime by having its characters mention how black, white, Latinas, Chinese, gay, or whatever they are. They simply are what they are, and we all have eyes to see them. Congrats to Yan, Hodson, and everyone else who decided to treat the characters as if they're humans like every one of us.

In the end, Birds of Prey (and the ridiculously long subtitle) continues DCEU's streak of (at least) good movies since Wonder Woman came out. With a phenomenal cast led by an outstanding Margot Robbie as Harley Quinn, Cathy Yan delivers some of the best action of the entire universe in a genuinely entertaining superhero flick. A colorful, chaotic, and fun vibe is present throughout the whole runtime, as well as a pretty neat score. However, Christina Hodson's screenplay lacks creativity. The main plot revolves around the most overused MacGuffin ever, and some characters are straight-up taken from the book of cliches. It's a generic comic-book film with a formulaic narrative, but one that possesses enough fun and entertainment to overlook the typical story.

Rating: B-"
45,猛禽小隊：小丑女大解放,"Pretty good Movie, I did not expect Harvey Quinn can kick ass like that. I can see some guy can be turn off this movie because all women hero team. I find it very entertaining and well made."
45,猛禽小隊：小丑女大解放,"Garbage.
Nothing, and I REALLY MEAN NOTHING good to say about this."
46,自殺突擊隊：集結,"The Suicide Squad...
...stayed true to the hype of the anti-hero teams in DC.

I feel like it wasn't really a sequel but rather a reboot and ignoring the first film.
The action was insane and BLOODY brilliant, with a stellar cast. And they LITERALLY killed off the first team at the very start of the film! To be honest, I wasn't really surprised as I didn't see more of them in later scenes of the trailer. But I was surprised they killed off Captain Boomerang - he was basically the primary member of the team! And I especially wanted to see more character build up with Savant, learn more of his backstory. Instead, he just turned out to be a totally wuss that's only good at killing small birds! But what shocked me the most was Rick Flagg's death!

Still, Idris Elba and John Cena were fucking awesome as Bloodsport and Peacemaker, respectively. And King Shark was hilariously awesome. Funnier that Groot because at least he says more than three words - although, ""hand"" would have to be my favourite moment!

I did had mixed feelings from the start, but then I started to really get into it all!"
46,自殺突擊隊：集結,"For sure has its moments and also has James Gunn's fingerprints with the dark humor. Not sure I would rank this all that high amongst all comic book movies, nor is it near the top compared with some DC, but it's a step up from the previous entry. The performances all around were well done with Idris Elba and John Cena being the highlights but everyone else were great. **3.75/5**"
46,自殺突擊隊：集結,"I was pleasantly surprised by this one, I had not watched any trailers in the run up to watching it but I was expecting it to be a bit lame but it turned out to be a good movie. I was surprised when pretty much the whole first team was killed off straight of the bat especially since some of the characters where played by well known actors, it wasn't all about Harlequin, John Cena and Idris Elba worked well together, good movie worth going to the cinema to watch it."
47,Barbie芭比,"_Barbie_ reels you in with its silly humor and fantastical ideas. The war of Kens during the last half hour of the film is an all-timer because a battle full of handsome maneuvers, like showing off their naked chest and manly noogies, turns into a full on dance off between Ryan Gosling and Simu Liu.

But the second half of the film leaves a thought-provoking message in your brain regarding both men and women. The Kens gaining respect little by little mirrors how women eventually earned their rights to be respected individuals — after being considered as only being useful in the kitchen or for making babies — except with the gender roles reversed and nude blobs instead of genitalia.

**Full review:** https://bit.ly/beachoff"
47,Barbie芭比,"I took my daughter along to see this, naively expecting light, family friendly fun and well, its not. Not even a little.

The kindest way I can describe this monstrosity is mean spirited, misandry. The message is simply not one I want my child taking on board.

My daughter wanted to leave before I'd even suggested it, so we did and had a better time doing something else together.

In summary, in my opinion, nasty and spiteful. Hollywood deserves its declining viewership, if this is all it has left to offer."
47,Barbie芭比,"FULL SPOILER-FREE REVIEW @ https://www.firstshowing.net/2023/review-greta-gerwigs-barbie-is-both-hilarious-thought-provoking/

""Barbie is hilariously meta, containing spectacularly funny musical numbers, and an efficient tonal balance between over-the-top comedy and rich, thought-provoking social commentary. Inevitable awards are on the way for the brightly colored production design, costumes, and makeup.

Greta Gerwig and Noah Baumbach's narrative unapologetically tackles quite serious topics, from sociopolitical matters like patriarchy and sexual harassment to questions about existential crises, personal identity, self-love, and, of course, the roles of women and men in today's society.

Margot Robbie was destined to play Barbie just as Ryan Gosling was born with Kenergy in his veins. Absolutely fantastic, as are the rest of the Barbies and Kens.

A must-see in a packed theater!""

Rating: A-"
48,樂來越愛你,"""To me, _La La Land_ is like religion. I see the appeal, and I would never take it away from anyone. But I would also never stand in line for it."" 
- Jeff WInger, probably.

_Final rating:★★½ - Not quite for me, but I definitely get the appeal._"
48,樂來越愛你,"A very special, memorable film that will be iconic in the years to come."
48,樂來越愛你,"This is definitely not a movie that I would have chosen to watch all by myself which perhaps explain why I thought it was just surprisingly okay to watch. However my girlfriend absolutely wanted to watch it so I got it. As it turned out my girlfriend had only gone by the number of Oscars and not really looked up what kind of movie it actually was so in the end I was enjoying the movie a lot more than she did.

This movie is pretty much a quite classical Hollywood musical with a non too original story, nice music and dancing. In addition the cinematography  is simply excellent. This is the strong point of this movie. The rest of the movie is of lesser interest to me but the cinematography is really, really good. The scene, pictured on the movie poster, were Mia and Sebastian dances and everything in the scene are dark blue tones except Mia’s bright yellow dress is so simple and yet so beautiful.

Everything else about this movie is…okay. Okay acting, okay story etc.  As I wrote before this is really not my kind of movie so forgive me for not being overly enthusiastic. I am sure those into these kind of movies cannot understand how anyone can give it less than a full set of stars but hey, different tastes and all that.

I cannot make up my mind about ending. On one hand I am a sucker for happy endings which this one falls a wee bit short on. On the other hand I have to commend the writer/director for not taking the path of least resistance and instead putting together something a wee bit different.

I did feel that a part of the movie was missing though. I would have liked to see the parts where Mia and Sebastian actually fulfilled their respective dreams. Jumping fast forward to the ending like the movie did felt a bit like they either ran out of money or they manage to misplace half the story!

Anyway, I enjoyed the movie more than I thought I would."
49,銀翼殺手2049,"""Blade Runner 2049 embraces the enormous shadow cast by Blade Runner 1982 by crafting a vast immersion in scale and vision...""

Read the full review here: http://screen-space.squarespace.com/reviews/2017/10/5/blade-runner-2049.html"
49,銀翼殺手2049,"In a wonderfully woeful world, a detective makes a sad attempt at a relationship, has the most inventive sex scene ever committed to screen, and grapples with an existential crisis as he does his work. This stuff, which could work as a standalone story, is so strong that this movie must be seen.

Unfortunately, the movie doesn't realise that the protagonist's everyday life is the best part, and instead focuses on a larger-than-life, goofy premise meant to tie 2049 to the original and set up another sequel, thus undermining what would otherwise be a gripping, intimate story."
